F,phi_norm,a,c,C**2,a**2,a/t,a/c,ac/t,a/(c**2),a/(t**2),(a**2)/c,(a**2)/t,sin(a/t),cos(a/t),act,c**3,a**3,(c**3 * t)/a,(a**2 * c)/t,a * (c**2),tan(a/t),pn/a,pn/t,pn/c,(a**2+c**2)**.5,c**2+a**2
0.600739823,1.974401474,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,13.16267649,2.632535299,65.81338247,0.1529705854,0.0234
0.594689899,1.944256531,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,12.96171021,2.592342041,64.80855103,0.1529705854,0.0234
0.603423767,1.913230543,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,12.75487029,2.550974057,63.77435143,0.1529705854,0.0234
0.621775166,1.884709762,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,12.56473175,2.512946349,62.82365873,0.1529705854,0.0234
0.677775751,1.837833008,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,12.25222005,2.450444011,61.26110027,0.1529705854,0.0234
0.737226747,1.784305493,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,11.89536995,2.379073991,59.47684977,0.1529705854,0.0234
0.777361658,1.739949294,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,11.59966196,2.319932392,57.9983098,0.1529705854,0.0234
0.811564552,1.700734625,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,11.33823083,2.267646167,56.69115417,0.1529705854,0.0234
0.842632104,1.664937642,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,11.09958428,2.219916856,55.4979214,0.1529705854,0.0234
0.871661437,1.631676588,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,10.87784392,2.175568784,54.3892196,0.1529705854,0.0234
0.898921564,1.600412064,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,10.66941376,2.133882752,53.3470688,0.1529705854,0.0234
0.925240576,1.57079861,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,10.47199073,2.094398147,52.35995367,0.1529705854,0.0234
0.950178974,1.542604231,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,10.28402821,2.056805641,51.42014103,0.1529705854,0.0234
0.97259784,1.515667455,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,10.1044497,2.02088994,50.5222485,0.1529705854,0.0234
0.990534974,1.489876427,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.932509513,1.986501903,49.66254757,0.1529705854,0.0234
1.002069157,1.46515332,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.7676888,1.95353776,48.838444,0.1529705854,0.0234
1.014566908,1.441853917,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.612359447,1.922471889,48.06179723,0.1529705854,0.0234
1.030388456,1.419744112,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.464960747,1.892992149,47.32480373,0.1529705854,0.0234
1.043683708,1.398196868,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.321312453,1.864262491,46.60656227,0.1529705854,0.0234
1.055472848,1.377148042,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.180986947,1.836197389,45.90493473,0.1529705854,0.0234
1.065484476,1.356542894,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,9.043619293,1.808723859,45.21809647,0.1529705854,0.0234
1.074367644,1.336334186,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.908894573,1.781778915,44.54447287,0.1529705854,0.0234
1.083401195,1.316481729,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,8.77654486,1.755308972,43.8827243,0.1529705854,0.0234
